Levy,Engine volume,Mileage,Cylinders,Airbags
879.0,3.5,186005.0,4.0,12
1018.0,3.0,192000.0,4.0,8
879.0,1.3,200000.0,4.0,2
862.0,2.5,168966.0,4.0,0
879.0,1.3,91901.0,4.0,4
891.0,2.0,160931.0,4.0,4
761.0,1.8,258909.0,4.0,12
751.0,2.4,216118.0,4.0,12
879.0,2.5,121000.0,4.0,12
879.0,3.5,128500.0,4.0,12
1053.0,3.5,184467.0,4.0,12
879.0,2.0,0.0,4.0,0
879.0,1.6,350000.0,4.0,4
1055.0,3.5,138038.0,4.0,12
891.0,2.0,76000.0,4.0,4
879.0,2.0,74146.0,4.0,12
810.0,1.8,121840.0,4.0,12
810.0,1.8,54317.0,4.0,4
879.0,3.3,295059.0,4.0,12
879.0,3.5,121000.0,4.0,12
879.0,1.6,112645.0,4.0,4
586.0,1.8,187000.0,4.0,12
879.0,2.5,39709.0,4.0,12
879.0,2.206403584851113,230000.0,4.0,0
879.0,1.8,0.0,4.0,4
879.0,2.206403584851113,210000.0,4.0,8
879.0,2.0,0.0,4.0,0
879.0,1.5,169000.0,4.0,8
583.0,1.6,158787.0,4.0,4
879.0,3.3,121000.0,4.0,12
879.0,2.206403584851113,180000.0,4.0,4
915.0,3.0,175056.0,4.0,12
879.0,2.0,200000.0,4.0,6
879.0,3.3,287274.0,4.0,12
879.0,2.206403584851113,250000.0,4.0,10
707.0,2.0,162000.0,4.0,4
1077.0,2.0,10200.0,4.0,12
879.0,1.3,158000.0,4.0,4
879.0,1.6,103490.0,4.0,4
879.0,3.5,121000.0,4.0,12
751.0,2.4,203200.0,4.0,4
879.0,2.5,61057.0,4.0,4
650.0,2.206403584851113,11200.0,4.0,8
879.0,2.4,141000.0,4.0,12
879.0,2.0,160259.0,4.0,12
879.0,2.0,239342.0,4.0,12
879.0,1.5,128000.0,4.0,8
1017.0,2.0,100734.0,4.0,4
879.0,1.5,141500.0,4.0,8
879.0,2.3,147000.0,4.0,8
